leaf_id,healthy_area_mean,healthy_perimeter_mean,healthy_compactness_mean,healthy_convexity_mean,mean_embedding_distance
1-1-16-1-1,1481842.6,18856.300809383392,0.00426200199253896,0.7798860832027739,0.16811565
1-1-16-1-2,1608746.9,20039.34226424694,0.0040977793525252,0.788614222032162,0.12560938
1-1-16-1-3,1477745.5,18026.150698542595,0.00454418492143516,0.7870264840821747,0.16798706
1-1-16-1-5,1394212.9,18539.301226973534,0.0041655454917783,0.7650095069802585,0.15091784
1-1-16-2-3,1454591.5,18594.46994378567,0.00430777909263938,0.7767210849372536,0.1623234
1-1-16-2-5,1454591.5,18594.46994378567,0.00430777909263938,0.7767210849372536,0.19300462
1-1-16-3-2,1390115.8,17709.151116132736,0.0044477284206745,0.7721499078596594,0.20229909
1-1-16-3-3,1366665.9,18126.2855853796,0.00431127485750908,0.7462674318643937,0.24395373
1-1-16-3-4,1394212.9,18539.301226973534,0.0041655454917783,0.7650095069802585,0.20673218
1-1-16-3-5,1578503.5,20229.18918902874,0.00398456220999804,0.7827804421919691,0.20744333
1-1-9-2-1,1061738.6,9998.425540018081,0.010627818077871661,0.7713911852200523,0.17428574
1-1-9-3-1,945406.5,9400.384260439872,0.010668551365647799,0.7831930751575583,0.21233335
1-1-9-4-1,803334.1,7861.681182646751,0.01326609454119324,0.7885250905952862,0.29299814
1-2-14-1-2,1685537.7,22649.252023482324,0.0034419459417228404,0.7659566630412524,0.13460284
1-2-14-1-3,1601452.9,22485.752771019936,0.00333440883881736,0.7559025335515186,0.09329863
1-2-14-1-5,1644950.6,23780.775202322005,0.00302070666857002,0.7497158385750051,0.12284007
1-2-14-2-2,1813225.3,24422.602242588997,0.0030613782279491804,0.767103089382913,0.12153602
1-2-14-2-3,1787655.8,24003.049935531617,0.00313770767631538,0.7675991333292631,0.14035818
1-2-14-2-5,1813225.3,24422.602242588997,0.0030613782279491804,0.767103089382913,0.16660383
1-2-14-3-1,1780566.4,23624.577615070342,0.0032608963625840003,0.7720707526339913,0.11553788
1-2-14-3-2,1784448.5,23887.21906993389,0.0031699899816179196,0.768692348757658,0.13909695
1-2-14-3-3,1784448.5,23887.21906993389,0.0031699899816179204,0.768692348757658,0.17090595
1-2-14-3-4,1784448.5,23887.21906993389,0.0031699899816179196,0.768692348757658,0.11524719
1-2-14-3-5,1892382.2,23245.574934244156,0.00355279630210404,0.7868938416410739,0.16049807
1-2-15-1-1,1548822.3,21429.191478037836,0.0036547604288716803,0.7638288831021848,0.0738008
1-2-15-1-2,1612470.5,22191.60206730366,0.0034223600248028396,0.7609539794514354,0.06624089
1-2-15-1-3,1574715.1,23179.89051396847,0.00303416910480526,0.7460982175405179,0.091324165
1-2-15-1-4,1667159.2,22689.25428671837,0.0033426862810419,0.762292586464921,0.06393111
1-2-15-1-5,1574715.1,23179.89051396847,0.00303416910480526,0.746098217540518,0.068855986
1-2-15-2-1,1574715.1,23179.89051396847,0.0030341691048052597,0.746098217540518,0.09828426
1-2-15-2-4,1548822.3,21429.191478037836,0.0036547604288716803,0.7638288831021848,0.07233013
1-2-15-3-3,1574715.1,23179.89051396847,0.00303416910480526,0.746098217540518,0.10941543
1-2-15-3-5,1749492.8,23301.274846601485,0.0033014167077705997,0.7708597468811322,0.21779236
1-3-10-1-1,719842.9,7439.199108099938,0.01300356594767634,0.7885264495543993,0.17474546
1-3-10-2-1,557259.8,6580.47237200737,0.012830116993831919,0.7862302799342068,0.29342467
1-3-10-3-1,565664.3,7248.812553477287,0.01105766814738276,0.7480418535851537,0.3365233
1-3-10-4-1,504418.0,7167.604227447509,0.010675898783036021,0.7396921366064853,0.42968503
1-3-10-5-1,504418.0,7167.604227447509,0.010675898783036021,0.7396921366064853,0.39428338
1-3-9-1-1,696641.7,8397.910269618034,0.009925471681872319,0.7770469593466064,0.17574118
1-3-9-2-1,726826.8,8915.493859863282,0.009123302102969518,0.7361564399099637,0.16075483
1-3-9-3-1,775897.1,8989.007150578498,0.0096447278506219,0.7551887333960737,0.26416743
1-3-9-4-1,758280.2,9730.642367362976,0.00843593576727786,0.7038533804297317,0.22995687
1-3-9-5-1,623938.7,7530.544934773445,0.011035675990438759,0.7425625347216568,0.27351582
2-1-13-1-1,1951520.3,25842.826937127113,0.0030960692987585404,0.767492102334959,0.10152596
2-1-13-1-2,1870851.0,26445.15248746872,0.00276577118918208,0.7470142772274452,0.0666334
2-1-13-1-4,1870851.0,26445.15248746872,0.002765771189182081,0.7470142772274451,0.08692928
2-1-13-2-2,1951520.3,25842.826937127113,0.0030960692987585404,0.767492102334959,0.101268925
2-1-13-2-3,1959129.1,25467.055539488792,0.0032327622361124205,0.7706255492926367,0.12073775
2-1-13-2-5,1951520.3,25842.826937127113,0.00309606929875854,0.767492102334959,0.09748272
2-1-13-3-1,1537434.4,19458.179501962662,0.00422712528561634,0.7764632209645945,0.15219305
2-1-13-3-2,1505887.8,18249.48046603203,0.004565047602563601,0.7831203695328577,0.21789083
2-1-13-3-4,1561063.3,18762.112166810035,0.00446749382035026,0.78161566800055,0.17509617
2-1-13-3-5,1561063.3,18762.112166810035,0.00446749382035026,0.78161566800055,0.16659567
2-1-14-1-3,1338721.0,17083.862143611907,0.004630632621480781,0.7704621930053358,0.14834838
2-1-14-1-5,1405180.4,17092.09158115387,0.004829242975163601,0.7884356141252468,0.12804982
