leaf_id,category,is_healthy,area,perimeter,hull_area,convexity,compactness,major_axis,minor_axis,aspect_ratio,healthy_area_mean,healthy_perimeter_mean,healthy_compactness_mean,healthy_convexity_mean,mean_embedding_distance,rel_area_loss,rel_perimeter_change,compactness_dev,convexity_dev
1-1-16-1-1,simulated,0,1320222.5,21653.464324355125,1842806.0,0.7164196882363092,0.0028157387166861,1994.3805,407.6544,4.8923316,1481842.6,18856.300809383392,0.0042620019925389,0.7798860832027739,0.16811565,0.10906698187775882,0.1483410528448639,0.0014462632758527995,0.06346639496646467
1-1-16-1-2,simulated,0,1430524.0,20818.216631412502,1892651.0,0.7558308425589293,0.0033007155677833,2141.4524,433.1859,4.943495,1608746.9,20039.34226424694,0.0040977793525252,0.788614222032162,0.12560938,0.11078367889932787,0.03886726205162518,0.0007970637847419001,0.03278337947323273
1-1-16-1-3,simulated,0,1478689.0,17101.042635440826,1835160.0,0.8057548115695634,0.00505628636769,2012.5206,446.20908,4.510264,1477745.5,18026.150698542595,0.0045441849214351,0.7870264840821747,0.16798706,0.0,-0.051320333360202225,-0.0005121014462549003,-0.01872832748738873
1-1-16-1-5,simulated,0,1262132.0,23215.378099679947,1870295.5,0.6748302607796468,0.0023418186236145,1970.0079,397.08667,4.9611535,1394212.9,18539.301226973534,0.0041655454917783,0.7650095069802585,0.15091784,0.09473510107380671,0.2522250874078677,0.0018237268681637999,0.09017924620061168
1-1-16-2-3,simulated,0,1370523.0,20345.70871782303,1835825.5,0.7465431763530902,0.0033108589794479,1974.1241,417.67703,4.726437,1454591.5,18594.46994378567,0.0043077790926393,0.7767210849372536,0.1623234,0.05779526416862893,0.09418062355299613,0.0009969201131914004,0.03017790858416336
1-1-16-2-5,simulated,0,1307067.0,22048.844048023224,1847104.5,0.7076302396534685,0.0026886000266707,1975.7965,405.30728,4.874811,1454591.5,18594.46994378567,0.0043077790926393,0.7767210849372536,0.19300462,0.10141988317675346,0.18577427130189553,0.0016191790659686,0.06909084528378506
1-1-16-3-2,simulated,0,1313036.0,22145.14852809906,1845996.5,0.7112884558556856,0.0026774380965546,1962.6538,406.3025,4.8305235,1390115.8,17709.151116132736,0.0044477284206745,0.7721499078596594,0.20229909,0.05544847414866056,0.25049181536853643,0.0017702903241199,0.06086145200397386
1-1-16-3-3,simulated,0,1351603.0,21451.24189305305,1843369.5,0.7332241311359443,0.0029372726854784,1975.861,412.12427,4.794333,1366665.9,18126.2855853796,0.004311274857509,0.7462674318643937,0.24395373,0.011021640329204736,0.18343285455967223,0.0013740021720305999,0.013043300728449392
1-1-16-3-4,simulated,0,1318608.5,21174.27429497242,1837092.5,0.7177692467853415,0.0029410255779408,1978.8326,407.63312,4.8544455,1394212.9,18539.301226973534,0.0041655454917783,0.7650095069802585,0.20673218,0.05422729914487643,0.1421290390396718,0.0012245199138375,0.047240260194917005
1-1-16-3-5,simulated,0,1347898.5,23189.474429011345,1916201.0,0.703422292337808,0.0025065442640285,2075.5017,407.3504,5.095126,1578503.5,20229.18918902874,0.003984562209998,0.7827804421919691,0.20744333,0.14609090192061905,0.14633731545907788,0.0014780179459695005,0.07935814985416112
1-1-9-2-1,simulated,0,1025286.5,10319.370289206505,1453431.5,0.7054247138582038,0.0096280612860987,2307.7102,290.47168,7.9446993,1061738.6,9998.42554001808,0.0106278180778716,0.7713911852200523,0.17428574,0.034332461869584247,0.032099528857995156,0.0009997567917729,0.06596647136184852
1-1-9-3-1,simulated,0,802935.5,9887.31141412258,1247313.0,0.6437321666654641,0.0082134238237017,2255.633,253.99048,8.880778,945406.5,9400.384260439872,0.0106685513656477,0.7831930751575583,0.21233335,0.15069813884276162,0.05179864355971804,0.002455127541946,0.13946090849209425
1-1-9-4-1,simulated,0,649424.0,7358.231994628906,966821.0,0.6717106889486265,0.0119944788089016,1613.6913,267.05963,6.042438,803334.1,7861.681182646751,0.0132660945411932,0.7885250905952862,0.29299814,0.19158915325492643,-0.06403836231175083,0.0012716157322916009,0.11681440164665968
1-2-14-1-2,simulated,0,1752917.5,24448.08581221104,2313488.0,0.757694658455112,0.0029327277883068,2347.9182,421.49747,5.5704207,1685537.7,22649.252023482324,0.0034419459417228,0.7659566630412524,0.13460284,0.0,0.07942133306584682,0.000509218153416,0.008262004586140459
1-2-14-1-3,simulated,0,1727113.5,25084.98739492893,2315082.0,0.7460269225884871,0.0027446887649655,2344.1423,417.6556,5.6126204,1601452.9,22485.752771019936,0.0033344088388173,0.7559025335515186,0.09329863,0.0,0.11559473459760444,0.0005897200738517999,0.009875610963031467
1-2-14-1-5,simulated,0,1786995.5,23268.120302081108,2314132.5,0.7722096725230729,0.0033006605144522,2353.0186,420.63208,5.5940065,1644950.6,23780.775202322005,0.00302070666857,0.7497158385750051,0.12284007,0.0,-0.021557535271990762,-0.0002799538458822001,-0.02249383394806781
1-2-14-2-2,simulated,0,1921032.0,21639.629633426663,2371725.5,0.8099723176227603,0.0041023711785478,2703.3118,450.52,6.000426,1813225.3,24422.602242589,0.0030613782279491,0.767103089382913,0.12153602,0.0,-0.11395069949570487,-0.0010409929505987001,-0.04286922823984729
1-2-14-2-3,simulated,0,1904548.0,20691.507707357407,2326081.0,0.8187797415481232,0.0044484390895238,2539.6094,446.48346,5.6880255,1787655.8,24003.049935531617,0.0031377076763153,0.7675991333292631,0.14035818,0.0,-0.1379633936908236,-0.0013107314132084998,-0.05118060821886006
1-2-14-2-5,simulated,0,1748567.0,24046.97190284729,2312291.0,0.7562054257011769,0.003023858648155,2486.83,429.70572,5.7872863,1813225.3,24422.602242589,0.0030613782279491,0.767103089382913,0.16660383,0.035659275215255595,-0.01538043882446288,3.7519579794100064e-05,0.01089766368173617
1-2-14-3-1,simulated,0,1920631.5,22296.66445839405,2372890.0,0.8094060407351373,0.0038633517447375,2591.5195,440.73322,5.8800187,1780566.4,23624.577615070342,0.003260896362584,0.7720707526339913,0.11553788,0.0,-0.056208969246205456,-0.0006024553821535003,-0.03733528810114606
1-2-14-3-2,simulated,0,1717466.5,26792.717404723167,2373381.0,0.7236370814462575,0.0023925154329853,2426.2178,407.17624,5.958643,1784448.5,23887.21906993389,0.0031699899816179,0.768692348757658,0.13909695,0.03753652739205556,0.12163401382811886,0.0007774745486326001,0.045055267311400526
1-2-14-3-3,simulated,0,1792174.5,25279.334716677666,2373121.0,0.7551972697557352,0.002804458469503,2477.8286,420.60147,5.8911552,1784448.5,23887.21906993389,0.0031699899816179,0.768692348757658,0.17090595,0.0,0.05827868211070708,0.00036553151211490007,0.013495079001922816
1-2-14-3-4,simulated,0,1728891.0,24539.108109474186,2326163.5,0.7432370940391765,0.0028711115457019,2422.1323,419.16855,5.778421,1784448.5,23887.21906993389,0.0031699899816179,0.768692348757658,0.11524719,0.03113426921537319,0.027290285972782758,0.00029887843591600016,0.025455254718481535
1-2-14-3-5,simulated,0,1805127.0,23289.8776614666,2333942.0,0.7734241039408862,0.0033279236011433,2357.579,431.7111,5.4610114,1892382.2,23245.57493424416,0.003552796302104,0.7868938416410739,0.16049807,0.04610865606321696,0.0019058563767880262,0.00022487270096069973,0.013469737700187667
1-2-15-1-1,simulated,0,1719251.5,19255.70157754421,2134705.0,0.8053813056136562,0.004636825141155,2256.8289,438.15622,5.15074,1548822.3,21429.19147803784,0.0036547604288716,0.7638288831021848,0.0738008,0.0,-0.1014265938413846,-0.0009820647122833997,-0.0415524225114714
1-2-15-1-2,simulated,0,1722388.5,21221.342398285866,2193157.0,0.7853466486895375,0.0038245946390379,2328.2966,434.94186,5.3531213,1612470.5,22191.60206730366,0.0034223600248028,0.7609539794514354,0.06624089,0.0,-0.043721929855781695,-0.00040223461423509986,-0.024392669238102127
1-2-15-1-3,simulated,0,1571955.0,23079.721245527267,2104492.0,0.7469522336031689,0.0029510664662122,2139.7075,416.1562,5.1415973,1574715.1,23179.89051396847,0.0030341691048052,0.7460982175405179,0.091324165,0.0017527614995235265,-0.004321386607780414,8.310263859299992e-05,-0.0008540160626510085
1-2-15-1-4,simulated,0,1686624.0,19481.517812013622,2093942.0,0.8054778976686078,0.0044439861430058,2181.9736,434.92023,5.0169516,1667159.2,22689.25428671837,0.0033426862810419,0.762292586464921,0.06393111,0.0,-0.14137690177156179,-0.0011012998619639005,-0.04318531120368674
1-2-15-1-5,simulated,0,1627831.0,20239.262102365494,2073699.0,0.7849890461441126,0.0039739277373108,2135.3013,427.56506,4.9940968,1574715.1,23179.89051396847,0.0030341691048052,0.746098217540518,0.068855986,0.0,-0.1268611864108701,-0.0009397586325055997,-0.03889082860359461
1-2-15-2-1,simulated,0,1486168.0,25925.18544101715,2130406.0,0.6975984859224017,0.0022111803322088,2132.1128,394.1886,5.4088645,1574715.1,23179.89051396847,0.0030341691048052,0.746098217540518,0.09828426,0.05623055243449679,0.1184343353682323,0.0008229887725963998,0.04849973161811627
1-2-15-2-4,simulated,0,1603305.5,21956.489585995678,2131764.5,0.752102542283634,0.0033257566652815,2089.8413,411.1194,5.0832953,1548822.3,21429.19147803784,0.0036547604288716,0.7638288831021848,0.07233013,0.0,0.024606533031059273,0.0003290037635901,0.011726340818550729
1-2-15-3-3,simulated,0,1467226.5,24897.70400059223,2121188.0,0.6917003584783621,0.0023668926627851,2018.8301,388.83798,5.191957,1574715.1,23179.89051396847,0.0030341691048052,0.746098217540518,0.10941543,0.06825907746736652,0.07410792063553887,0.0006672764420200998,0.054397859062155884
1-2-15-3-5,simulated,0,1189978.5,33894.79298341274,2134596.0,0.5574724678580865,0.0010357934093797,2197.9556,376.65982,5.8353863,1749492.8,23301.274846601485,0.0033014167077705,0.7708597468811322,0.21779236,0.31981514871034633,0.4546325557763077,0.0022656232983908,0.21338727902304577
1-3-10-1-1,simulated,0,544345.0,5910.99737071991,634297.0,0.8581863070454377,0.0155794709513518,1432.1658,234.05595,6.118903,719842.9,7439.199108099938,0.0130035659476763,0.7885264495543993,0.17474546,0.24380027919947006,-0.20542557269513975,-0.002575905003675499,-0.06965985749103842
1-3-10-2-1,simulated,0,439615.0,5560.6887147426605,563271.0,0.7804680162834586,0.0142172412918931,1301.0879,212.6274,6.119098,557259.8,6580.47237200737,0.0128301169938319,0.7862302799342068,0.29342467,0.2111130212511093,-0.1549711934735551,-0.0013871242980612007,0.005762263650748167
1-3-10-3-1,simulated,0,426521.5,6308.602490067482,639431.0,0.6670328776678015,0.0107170338341524,1340.9257,200.70976,6.680919,565664.3,7248.812553477287,0.0110576681473827,0.7480418535851537,0.3365233,0.2459812295026468,-0.12970539055104643,0.0003406343132302987,0.08100897591735223
1-3-10-4-1,simulated,0,373587.0,7138.668505430222,672362.5,0.5556333079254122,0.0073309004946525,1441.4944,186.65392,7.722819,504418.0,7167.604227447509,0.010675898783036,0.7396921366064853,0.42968503,0.2593702048692565,-0.004037014474438312,0.0033449982883835003,0.18405882868107304
1-3-10-5-1,simulated,0,320761.0,7242.859411239624,584975.0,0.5483328347365272,0.0061145070220244,1309.8396,167.05463,7.840786,504418.0,7167.604227447509,0.010675898783036,0.7396921366064853,0.39428338,0.36409684031822,0.010499349767867242,0.004561391761011601,0.1913593018699581
1-3-9-1-1,simulated,0,611589.5,8932.218925595284,886528.5,0.6898700944188484,0.0076655143819548,2143.5972,188.65332,11.362626,696641.7,8397.910269618034,0.0099254716818723,0.7770469593466064,0.17574118,0.12208887294555848,0.06362400153841216,0.0022599572999174996,0.087176864927758
1-3-9-2-1,simulated,0,595595.5,9006.880832076073,1002146.5,0.5943197925652587,0.0073418004181676,2147.8264,210.36392,10.210052,726826.8,8915.493859863282,0.0091233021029695,0.7361564399099637,0.16075483,0.1805537440279025,0.01025035445472699,0.0017815016848019005,0.14183664734470502
1-3-9-3-1,simulated,0,561344.5,10181.006934046743,1074079.0,0.5226286893235973,0.0054156177794716,2171.5635,180.84456,12.0079,775897.1,8989.007150578498,0.0096447278506219,0.7551887333960737,0.26416743,0.27652197694735997,0.13260638948973652,0.0042291100711502995,0.23256004407247644
1-3-9-4-1,simulated,0,429264.0,9635.446409225464,880383.0,0.4875877884965975,0.004623605669294,2183.9983,163.03687,13.395733,758280.2,9730.642367362976,0.0084359357672778,0.7038533804297317,0.22995687,0.4338979179458544,-0.009783111385022301,0.003812330097983801,0.21626559193313416
1-3-9-5-1,simulated,0,294973.0,6362.256379842758,578600.5,0.5098042604525921,0.0072871873202971,1377.0885,161.0041,8.553126,623938.7,7530.544934773445,0.0110356759904387,0.7425625347216568,0.27351582,0.5272404164054462,-0.15513997524678397,0.0037484886701415997,0.2327582742690647
2-1-13-1-1,simulated,0,1736422.0,29873.63030362129,2492877.0,0.6965534200042762,0.0019457152163975,2521.6023,402.1994,6.2695327,1951520.3,25842.826937127116,0.0030960692987585,0.767492102334959,0.10152596,0.11022088778676288,0.1559737785709249,0.001150354082361,0.07093868233068279
