leaf_id,category,is_healthy,area,perimeter,hull_area,convexity,compactness,major_axis,minor_axis,aspect_ratio
4-3 _ Leaf 9,healthy,1,1064671.5,9554.340851664543,1445603.0,0.736489547960263,0.011663104510573698,2135.7593,324.2437,6.586895
8-1 _ Leaf 10,healthy,1,1080402.5,12164.91356909275,1707026.5,0.6329148961659353,0.007300750807587027,2315.4473,326.68973,7.0876036
8-1 _ Leaf 8,healthy,1,606691.5,8461.723539710045,908961.5,0.6674556623135304,0.00847325440972473,1771.08,218.92169,8.090015
8-1 _ Leaf 9,healthy,1,783407.0,8836.343816041946,1024631.5,0.7645743860109707,0.010033263925630923,2095.2168,235.93492,8.8804865
8-2 _ Leaf 10,healthy,1,1347063.0,10633.52966952324,1586664.5,0.8489904450499774,0.01191332564343866,2479.8408,339.13412,7.3122716
8-2 _ Leaf 8,healthy,1,1508959.5,16843.342398285866,2304861.0,0.6546856838655346,0.00531889024902216,3749.556,268.5751,13.960921
8-2 _ Leaf 9,healthy,1,1044829.0,8419.903129339218,1242806.5,0.8407012676551016,0.014737744674948209,2028.0176,313.79028,6.462971
8-3 _ Leaf 10,healthy,1,1623347.5,11664.58052790165,1912334.0,0.8488828311372386,0.011930901086446809,2744.9773,366.42294,7.491281
8-3 _ Leaf 8,healthy,1,836070.0,7924.045264720917,942468.5,0.8871065717315751,0.013315232215836484,1949.5205,258.8675,7.530959
8-3 _ Leaf 9,healthy,1,1293858.5,10591.953111290932,1500689.0,0.8621763070163105,0.01153279796928464,2583.688,306.61935,8.42637
9-1 _ Leaf 8,healthy,1,777399.0,9160.956952095032,1118830.0,0.6948321013916323,0.009263226703974083,2192.1067,229.47298,9.552788
9-1 _ Leaf 9,healthy,1,1090745.5,10538.306361794472,1530698.5,0.7125802370617075,0.009821589761764827,2384.4824,284.49866,8.381349
9-2 _ Leaf 10,healthy,1,1354879.5,10110.257591366768,1500319.0,0.9030609490381712,0.01325489311973499,2490.3694,343.537,7.249203
9-2 _ Leaf 8,healthy,1,950905.0,12829.830643892288,1618733.5,0.5874376480130917,0.005776905771225206,2214.3103,286.65295,7.7247076
